
### RESULTS FROM LATTICE TM ###

ref: mejmajkaːɳun̪t̪iranumujaɾn̪t̪at̪un̪aːɭum hyp: enɪxaloɳkiɾeɳeʝʊnðoðenalo cer: 85.0
ref: aːɾn̪t̪aoɻukkan̪uːln̪iːt̪in̪uːlarin̪t̪aːɭ hyp: ɳðpoɾfɡeɳoɾɳiːðiːul̪l̪ɪmt cer: 80.49
ref: maːjkan̪amat̪uʈalkaɭ-ʋiʂam hyp: naelʊmot̪urɪɪlwɨsɪn cer: 80.77
ref: ŋappoːlʋaɭaj hyp: ʊixpuɾai cer: 83.33
ref: oɾut̪inat̪t̪ilpat̪t̪umaɳiiɾaʋinileːʋiːʈʈil hyp: oʐeðenɪkuːoɪwmɪt̪iːl̪eɳimɪɾal̪idɪno cer: 78.57
ref: kaɳɳirkanalt͡ʃin̪t̪ikkaʈʈaɻikkaʋan̪t̪aʋaɭeː hyp: aɳɳiʋoelfiɾɪxkeɾeliːxiːendaalɪ cer: 74.42
ref: aːʈirruʋajjamenru hyp: niːxt̪ʊxʊiitɨð cer: 94.12
ref: ket̪t̪anajmaːn̪t̪aɾkaɭn̪erriʋijaɾʋaj hyp: ɾteɳiːondeoloʃl̪ɪmɪɾe cer: 88.89
ref: t͡ʃoːlajjileːpuːt̪t̪at̪anippuːʋoːn̪iːt̪aːn hyp: olil̪iːortot̪enituuːɾiɪ cer: 69.05
ref: n̪eɲt͡ʃinirt͡ʃeːt͡ʃuʋint̪oɳʈaɾn̪inajppennat̪oːɻi-t̪inam hyp: nɪŋd̪iɳerʂɪʐuðenollaʐnɨnɪfolɪl̪iːuðɪɳema cer: 78.18
ref: n̪amat̪in̪t̪appejaɾkoɳʈamoɻijenraeɳɳam hyp: oɳuːnuɾɪnodɪʋpɨofʊɨol̪ɪenrolem cer: 78.95
ref: ulajjiliɾumpaj-jaːm hyp: ulɪiːɾeðoŋaʝo cer: 73.68
ref: n̪eːt͡ʃit̪t̪uʋaɾuʋoːɾkaɭpeɾukumʋaɳɳam hyp: omɪiːfɪd̪ɨeʊlolɪkelʋoanna cer: 83.78
ref: paɾaːkkiɾamat̪t̪aːlanpaːl hyp: toloʂtɾelɨt̪oloɪʊ cer: 84.0
ref: iɾun̪t̪at̪ut͡ʃaːʋieʈut̪t̪ut͡ʃt͡ʃenreː hyp: ɪlannedɪseliːiːl̪dtɪtaɳdɪ cer: 83.78
ref: kaɳʈenankarpinukkuaɳijajkaɳkaɭaːl hyp: olɪnɪt̪ɪrbiɳiːpɨpomɪkɲɡel̪lɨ cer: 87.88
