
### RESULTS FROM LATTICE TM ###

ref: fwexefepɾobinsialdeiskjeɾdaɾepublikana hyp: ðeɛnɛnuteleekaɔnanɛɾ cer: 81.58
ref: estotɾaekomokonsekwensiaelseɾaktibamenteinbestiɡadopoɾbaɾjospeɾsonaxes hyp: xaxeserɔmios̪jððɛsɟiioðɾwɛna cer: 84.29
ref: elmismotenjapɾoblemaskaɾdjakos hyp: ɛt̪t̪rakomealfunsææɾxelas̪d̪ebanit̪ol̪asd̪ɾel̪akarβespɾas̪ɔlse cer: 166.67
ref: unbwennumeɾofweɾonkɾeadosensutotalidadpaɾaelespektakulo hyp: ɛnjsnɔtɛneoruɡl̪ɛaæʃaiakus̪ cer: 78.18
ref: enpaɾtikulaɾtodoslosoɾdinalesɾeɡwlaɾessonkaɾdinales hyp: inamwɔlɛnoɾɛjeæapɔrka cer: 82.35
ref: losobɾeɾospanadeɾoslakonsumjanensualmweɾso hyp: æbsd̪uxol̪eðoðnotot̪jɡelpɛɡwll̪elsɡæll̪ðæðe cer: 90.48
ref: espwesunameskladeaɡwainjebe hyp: nɔs̪ɔɾil̪ɔbðal̪ɛɾoil̪apɔɾjɛembɔs cer: 100.0
ref: aɡwdoposeeunabexetasionmediteraneaenlakedestakanelensinaɾilaxaɾa hyp: ɔɛæxɾɛðaue cer: 95.31
ref: instɾwidalakausaseranodeɾeinafwearestadoienbjadoasantjaɡodeɡwatemala hyp: ɛl̪ɔt̪areoðesetæs̪iɾiteɾæɲænetet̪æɾt̪æɾl̪ænxel̪elexpæs cer: 85.29
ref: semantubokomolakansionmasdeskaɾɡadapoɾtɾessemanas hyp: mlɾoðæl̪exetoɾeoeseaaɾas̪alos̪d̪æmmæðoaloooðoa cer: 89.8
ref: lukaseiɡtsesunsubuɾbjoatipikoiakenoinkluieunaɾeaɾesidensial hyp: anɛfeɛmɔðeðtoikeðel̪xɛsfɛtstlɛmɔðs cer: 84.75
ref: fwetjodelpolitikomiɡelpɾimodeɾibeɾaiuɾkixo hyp: loxasɔmsteɔɛeseɾɛt̪aɾɛðɛooarɛuo cer: 85.71
ref: sukareɾaseabjainisiadokomolokutoɾaenlaɾadjolokal hyp: ofjamofaɛfɔɔtɛmnaðeɛfɛtiɡk cer: 87.5
ref: senesesitankantidadeskonstantesdewmedadpaɾaestableseɾlafɾutaɡɾande hyp: soɾomɛkaxɔɾotosɛɾɛnal̪ɛka cer: 84.85
ref: entɾesusakompaɲantesmusikalesfiɡwɾanpaulkunwɡostɾasseɾixameslast hyp: l̪suðekabðɛkasɛnt̪eseeɾasblapoðis̪iɛsilutoim cer: 79.69
ref: elteɾminoalpjedelpodjoenelkwaɾtoluɡaɾ hyp: enɛɔeɔoɡɛɾɔælasjolæfamɛɡuuɾs̪aænflæ cer: 89.19
ref: suusoasidopɾoʝbidoenalɡwnospaises hyp: nɛ cer: 96.97
ref: aoɾabjenelpaɾenteskoentɾeestostɾespensadoɾesbamut͡ʃomasaʝadeesto hyp:  cer: 100.0
ref: deskɾibjolakansionkomopaɾisʝltonasiendokaɾaokedeʃeɾilkɾow hyp: pipl̪ebjunokateomɔpreselantieɡalosials̪al̪ekoð cer: 71.93
ref: sabetokaɾelpjano hyp: kɛlɛt̪okaɛfo cer: 75.0
ref: desdeesemomentoelkomandoaɾxentinopeɾdjotodakomunikasionkonlaislatwle hyp: ðis̪lesenmemt̪iionɛaos̪teobɛl̪ret̪ðækamulit̪t̪eoɔst̪es̪lɾol̪i cer: 73.53
ref: lamaioɾjadelapoblasionbibedelaaɡɾikultuɾa hyp: ɛmæɡɛɾiæl̪eɛxaɾmɔfiɔnjβiantɔɾikfouræ cer: 78.05
ref: lakansionfweutilisadaenlatelenobelaɾebeldeduɾantesupɾimeɾatempoɾada hyp: l̪osæms̪esotems̪æsælookonoel̪æɾoel̪seeɾokres̪ot̪iemɛras̪esela cer: 76.12
ref: lowisdondeapaɾesiopoɾpɾimeɾabesenpublikoalosseisaɲos hyp: ot̪oðepɔɾeseepers̪l̪emmɾl̪eoteleuol̪ekasæl cer: 71.15
ref: debidoasusbwenasaktwasionesenelboloɡnafwetɾansfeɾidoalsoutamptondeinɡlatera hyp: baðt̪oðɔsboelat̪at̪otjɔeos̪t̪eæɡweæxeɾalwel̪isɔɛl̪s̪onpatailæteæ cer: 72.0
ref: susedeseenkwentɾaenpekin hyp: sɔfɛðeɛekatefte cer: 70.83
ref: otɾasfwentesindikankesupɾesidensiaduɾosinkoaɲos hyp: ɔlospeoid̪eɡekioooɾaltatooiiɡoɲa cer: 76.6
ref: posteɾjoɾmentekomensounafasedeabandonofaboɾesidopoɾelkɾesimjentodelasiudad hyp: ɔɾelnɛd̪opalseseoðiel̪ɔpɾefæɡrɾɾlpresemtl̪ðmesel̪a cer: 77.03
ref: impɾesjonadopoɾeldeskubɾimjentowiattkomensosukareɾadeaɾkeoloɡoafisionado hyp: jbeseoɾelexul̪ðjmps̪pwaskaeltaolaoloððeɟeoloɾes̪inæ cer: 72.22
ref: pɾaktikamentesepwedeɾealisaɾlasaktibidadeskotidjanaseksseptoexeɾsisio hyp: ætonælseipeærlefæl̪t̪ɾðæðɡɔd̪jamakɛsatekɾsuɡilt̪esa cer: 78.26
ref: poɾesteet͡ʃoadkiɾjomaioɾnotoɾjedadmundjal hyp: beʃis̪uxɾanelonrjβæɾobes cer: 85.37
ref: laspɾeɡwntasmasfɾekwentesnoaseptanlateoɾjadelanaɾkokapitalismokomopaɾtedelanaɾkismo hyp: owmt̪ɔs̪mos̪ɛɡwæɡomos̪æpenβɔraneulol̪rɔbææɡoreees̪npuræxðaneɡes̪iɾ cer: 84.34
ref: seaunɡɾupoiɡunelementodeesteɡɾupo hyp: xepxeɛtɔseɛtɔ cer: 81.82
ref: poɾultimoladisposisionenkapasdepintuɾasɾepɾesentalaebolusionpsikoloxika hyp: meuteiæoðetos̪esepæt̪eðoruɡel̪oɾos̪enaosett̪ood̪is̪ cer: 76.06
ref: enesteekipopeɾmanesedostempoɾadasenlaskeɡanadosliɡas hyp: teɲeatsaelalosɛs̪ostepɔrerumakeneæopoxj cer: 73.08
ref: esɾekonosidapoɾsusanakɾonismosisumaɾkadainflwensiaɾenasentista hyp: pesloɾɔnaxbortauɡalɾefɔnaxenetoaniteemas̪ cer: 75.81
ref: ljonelskaloninasioenlasiudaddepuxatoenlapɾobinsiadesantafe hyp: omel̪es̪oðleæteanæteðælekoxsunoxmuseðtæt̪oti cer: 79.31
ref: autunpasoabeɾnaɾdodeɡotʝa hyp: ɔɡoætɔal̪l̪eɛɛt̪eote cer: 80.0
ref: supɾesensiaesinsieɾtaentailandja hyp: s̪ɔkɛnfimfjis̪s̪jðet̪ɛklaðjss cer: 75.0
ref: ionokonteste hyp: salomoɛka cer: 83.33
ref: peɾokwalnoseɾjamiasombɾoalbeɾkelaniɲat͡ʃole hyp: l̪kwopereleteeɾðæðɛfal̪e cer: 81.4
ref: tekjeɾomaɾisa hyp: bɔfo cer: 92.31
ref: fwedissipulodelpoetaxeɾaɾdodjeɡo hyp: xwesefolɔil̪ɡɔæerɛole cer: 75.0
ref: losdjaɾjosswekosimpɾimjeɾonunaseɾjedeʝstoɾjassobɾepetteɾssonisusabentuɾas hyp: leæl̪s̪ekaiitreeɾeenæfel̪iel̪ifwl̪eoðl̪ipɛrpɛrɔsusɾilt̪oɾo cer: 79.45
ref: alolaɾɡodesuʝstoɾjaelmant͡ʃesteɾsitiaxuɡadoenotɾosterenos hyp: aɛlðɔʃuut̪oliæwaxiseketjikɔβaantɔt̪areɲe cer: 77.19
ref: lanwebaaljansamostɾosudebilidaddesdesukonstitusion hyp: læl̪ɔðeolfawotouðiɟɾæðans̪okukart̪oʃe cer: 76.0
ref: konstadeunasolanabekɾuseɾoikabeseɾakwadɾanɡwlaɾ hyp: es̪t̪ænɛonaaɾæneðɛfɾwel̪keexeɾðemwleɾ cer: 74.47
ref: miɡelmuɾjoenaɲasko hyp: uʝɡol̪aelæiosɔ cer: 77.78
ref: ademasesunbeʝoexemplodeestiloɡotiko hyp: ol̪ɛæobeɡeaðet̪ijɔt cer: 82.86
ref: unabeskekumpljolosdjesisjeteaɲosfiɾmosupɾimeɾkontɾatopɾofesjonal hyp: oeʝɛobɾoɾisðeoklnɔs̪ebineret̪oros̪as̪oel cer: 78.12
ref: elkastiʝoesdeuntiposimilaɾalkastiʝodeǩeskikɾumlob hyp: ɛls̪piɔæsɛt̪epoineælæd̪eoɛs̪teɾol̪s cer: 77.55
ref: ɾeinamoɾaola hyp: kl̪ɛmamuaʃbu cer: 83.33
ref: ¿kedeseapaɾameɾendaɾ hyp: ɡiɛsoɾaeɾɛlɛr cer: 75.0
ref: ¡asidoinkɾeiblekaʝate hyp: aɾjeksoenɛskaɛxð cer: 80.95
ref: elmedidoɾdekombodɾenakonstantementeielkomboseɾompekwandosebasia hyp: eɾmɛðjɡoɾteunuɛæxustɛntmɛntel̪popoɾapopænuɛβɛki cer: 69.84
ref: komensoasentiɾɡwstopoɾelɾealismoobxetibofɾjoidekoɾatibo hyp: kaaioesɛrkwt̪ofoleralefnxæteriɔklexorapi cer: 72.73
