path	translation	split
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18325365.mp3	I quit being a flight attendant.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18960256.mp3	So, what are you doing?	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19446941.mp3	Oh, not at all!	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18557643.mp3	You have two different styles.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19209861.mp3	Two days before Christmas?	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19887398.mp3	What are the working hours?	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19208010.mp3	My mind was smaller that night.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18636711.mp3	We’re a perfect match.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18594915.mp3	But they gave in at the last moments.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18207007.mp3	How is the look of our product?	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19505712.mp3	I’m suffering from indigestion.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18613332.mp3	Reflection positively and give credit	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19216636.mp3	Now I’m that idiot.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18704245.mp3	Anyway, they’d released him first before holding him for a short time on the border. But he was free to go after all.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19225644.mp3	Sometimes I think	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19333145.mp3	I’m hungry.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19090820.mp3	Little by little drop by drop I’m burning but I will stay.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_20177862.mp3	Do you sell stamps?	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18614343.mp3	We had such a hurried visit that we didn’t realize at all who was who.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19207153.mp3	If anything happens to my brother and dad	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18630897.mp3	And it did not have a great impact on him.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18443630.mp3	Don not step forward. I am so angry!	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19249997.mp3	Why are you talking nonsense? Your condition is not good.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_19216642.mp3	People look at him as a hero.	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18283746.mp3	Then he hid in a corner to see if anyone was going to take it out of the way	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18564841.mp3	But you’ll forget when you grew up	test
/home/n8rob/anlp11711_proj/persian_data/package/common_voice_fa_18989155.mp3	When you grow up, I want you to be like this pencil.	test
