path	translation	split
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19819841.mp3	The feelings in my heart when I see you	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19634234.mp3	What a blessing!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19785722.mp3	Tamil is the water of our community!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19726652.mp3	Today I am asking you not to seek it	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19726654.mp3	taking several feet	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19579269.mp3	Chant the Renaissance!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19579270.mp3	Those who fear anything in the world	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19579273.mp3	Ilaiyaan cried like this, the king of poetry.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19729011.mp3	As said by the Vanji. Ilaiyaan was startled.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19729012.mp3	Happy Christmas	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19729015.mp3	Get a job in government!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19657983.mp3	The dominance of AD form! – Fools	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19657997.mp3	Poetry books like elixir in Classic Tamil	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19658087.mp3	The king's son could learn all the skills!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19180413.mp3	He would say that they are the essence of the Sanjeevi mountain.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19180414.mp3	The body that has lost energy needs strength!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19180415.mp3	He said “go with a fear of desire."	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19180422.mp3	He and she will go to the private room;	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19139122.mp3	Smile! Rule the world!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19139124.mp3	My lunch box is missing.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19139125.mp3	She said burnt. After that she ran away	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19139126.mp3	Will the donkey improve?	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19140100.mp3	In Tamil Nadu, the summer is between April and July	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19140101.mp3	The sun sets in the west of the world.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19140102.mp3	Fusar, who left Wansura, lives.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19140103.mp3	Your house—your neighbor house’s	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165157.mp3	They came to see the girl at our house yesterday	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165158.mp3	Dealing with death and forgetting it is better.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165159.mp3	After drinking four or five cups of	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165161.mp3	This is a text spoken by a Kasi Nagar poet	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19538462.mp3	To spend the day time, he plays the ball game!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19538463.mp3	The old man fell asleep!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19538464.mp3	I told him jokingly:	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19538465.mp3	I don’t have any property! By disease	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137807.mp3	The wound which has been burnt by fire may heal, but a wound burnt by the tongue will never heal.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137808.mp3	Climb and look out over the world!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137809.mp3	The oasis is there and I am in the pial	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137810.mp3	Come and sit down as usual	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19568226.mp3	Increase your knowledge daily	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19568228.mp3	Looks like it wasn't expected	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19568229.mp3	It’s a bungalow chariot	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19568230.mp3	Don’t try the foolish behaviors at all	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19143699.mp3	The diamond repository that glare the eyes!	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19143701.mp3	“What happened Vanji! Don’t even know this?	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19143703.mp3	Am I talking right?	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19143704.mp3	I already know what earth is like.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137384.mp3	The rice doesn't taste of much	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137385.mp3	He got there by running, and the old man followed him	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137386.mp3	“Girl, he is blessed with Raman—up to the sky	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137387.mp3	He will suddenly lift while above.	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19137388.mp3	Like a peacock she was ready to play	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165032.mp3	The house number is sixty two but	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165033.mp3	‘Why are you standing in the street’	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165034.mp3	like the meaning of thirukkural whe you stand high	test
../tamil_data/cv-corpus-7.0-2021-07-21/ta/clips/common_voice_ta_19165035.mp3	its like a peak	test
