path	translation	split
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19698530.mp3	It lives in shallow, rocky water.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19987333.mp3	It mainly operates regional cabotage and cargo flights.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19691402.mp3	To arrange a visit, please contact the management first.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19966634.mp3	He completed his primary education in France, and then continued in Spain.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19600147.mp3	In the years that followed, this Spartan job produced dozens of good players.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19635186.mp3	The aim is to recover its cultivation in the Canary Islands.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19611823.mp3	It was "taken" from the "Lead" episode, when Alexandra Cabot returned.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19606807.mp3	What can evil do to separate them.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19602732.mp3	Rain and hail storms are very frequent.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19599359.mp3	The murder happened on a moonless, very dark night.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19626710.mp3	When it dies, after six to eight months of life, it loses its head.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20014497.mp3	We simply confront them.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19767517.mp3	He was from Belgium.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19726637.mp3	It borders the small island of Rona Sur along its northern coast.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19605175.mp3	Musical Production: Edwin Arellano.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20042851.mp3	This zone forms the boundary of the Municipality.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19597034.mp3	Fernando was then taken prisoner and held captive for six years.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19737225.mp3	He received solid training with a neoclassical background.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19688848.mp3	The selection criteria followed by the compiler is unknown	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19698257.mp3	In the beginning they formed this group without serious thought.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19758479.mp3	It is likely that Caxton was the duchess’s financial advisor.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20110050.mp3	He was captured by the Germans and spent the rest of the war as a prisoner.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19653039.mp3	In Hispania there are few testimonies, recognized by the epigraphy.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19970369.mp3	It is small in size and made of fine sand.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19621902.mp3	The Theory of successive creations was based on this theory.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19670056.mp3	He scored two goals in the Rosario derbies.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19644483.mp3	He was a decorated officer in the Spanish Navy.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19688629.mp3	The concentration of enzymes is a limiting factor.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19595743.mp3	The man helping her is probably her husband, Frank E. Butler.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19679245.mp3	Whereas its population density is around twenty-seven inhabitants per square kilometer.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19951528.mp3	The outdoor scenes were filmed in the province of Mendoza.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19658146.mp3	Princess Maria Carolina and Princess Maria Chiara live with their parents in Monaco.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19659093.mp3	Promotional copies of the album were never released.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19668470.mp3	There is an item in the annual municipal budget set aside for this purpose.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19950362.mp3	The player games when one of six Rangers	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19602296.mp3	Quinn tells Rachel to stay away from Finn.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19610693.mp3	The probe is equipped with the same instruments as the Vernera probe.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19620272.mp3	He was Dean of the Experimental University of the Armed Forces.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19957946.mp3	Which participates in the “Liga Deportiva de Niebla” alongside other local teams.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19844041.mp3	The name evolved until becoming "Burlada" in Spanish.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19639370.mp3	Some of the current Officials belong to these past generations.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19638874.mp3	However, other altercations were caused by extreme right sympathizers.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19601214.mp3	The biggest danger was the muggings.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19636856.mp3	The aim of this attack was to damage Iraqi military capability.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20069148.mp3	His work was—and continues to be—published throughout the world.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19657814.mp3	He studies theater and social work at the same time.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19631177.mp3	His signing for Valencia Club de Fútbol was a bit unusual.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19699333.mp3	It was written by Kurt Cobain.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19758666.mp3	Betancourt is one of the few launchers to be affected by this rule while launching.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19542934.mp3	Kenyan compatriots came second and third.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20042644.mp3	She is particularly known for her work on phosphorus.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_18825288.mp3	It’s Colombia.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19657382.mp3	Sand is white, with mid-sized grains, and not much assistance.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19706580.mp3	Even just a little	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19652602.mp3	Some of his journalistic work required a lot of preparation and previous physical training.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19647300.mp3	Badge that can be seen next to the salamander in the coat of arms of Francis I of France	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19635957.mp3	The added time mode has a lot of advantages in modern chess.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19600293.mp3	Furthermore, the ring is significant due to its stellar formation.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19715609.mp3	The product of the mastication is the cud.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19606519.mp3	It’s the head of the Oran Department, North of the province.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19941715.mp3	It’s located in the northern regions, beyond the north-northeast border.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20048921.mp3	The hilltop has a small pine forest.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19742171.mp3	Franco himself was an keen movie lover, he wrote the screenplay for “Raza”.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20022910.mp3	He later remained at the garrison in Buenos Aires.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20017224.mp3	Bunyan spent the next 30 years raising her three children and breeding animals.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19681937.mp3	Both plots coincide along the line, until the mysterious end of the novel.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19607256.mp3	Ecuador Government invested over a billion dollars in Universities.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19606537.mp3	It’s a traditionally industrial population.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19695760.mp3	Two grammars that can describe the same language are called equivalent grammars.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19658782.mp3	Ricardo Sanchez Marquez.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19681087.mp3	This organization has its headquarters in Pamplona.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19854689.mp3	Teach one”, it’s based, greatly, in the novel “El Aprendiz”.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19736136.mp3	The current General Secretary is Iñigo Claramunt Gonzales.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19666869.mp3	Therefore, this possible reutilization gave it a more flexible use.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19634201.mp3	Meaning that the diagram represents a temporal arrange of pending work.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19595700.mp3	This tour is normally know as “headhunting”, “scouting” or “go-ver”.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19598639.mp3	The pet is alive, and its name is passed on from different animals.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19950017.mp3	They even get together and travel to assist in concerts.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_18812583.mp3	It’s clear to enter.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19822946.mp3	Additionally, he was Knight of the Garter Order, the highest honor in Britain.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19728257.mp3	A marker chromosome can be inherited or show up as novo.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19631624.mp3	The station is located at downtown Frauenfeld.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19688646.mp3	The protagonist’s fingers are sharp.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20020132.mp3	It shows up leading international scientific rankings.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20022963.mp3	During the provincial elections, the organizations within the parties tend to veto many candidates.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19634946.mp3	He has a degree in architecture.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19692574.mp3	Using this opportunity to get rid of John, the King chose him.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19625109.mp3	They are visited by a great deal of different insects and hummingbirds.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19694706.mp3	At present, it’s being displayed at the Vatican Museum in Rome.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19715962.mp3	In the second phase of the colonial period, farms replaced the mining industry.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19598233.mp3	He was born in Queensland.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19685327.mp3	However, during his escape, Yaghi-Siyan fell from his horse.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19660991.mp3	My friends and family have known for about three years.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19694409.mp3	The colors of the club are red and black.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19611922.mp3	Cosmic Ark doesn’t provide a fixed number of lives.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19609203.mp3	Maria was arrested and banished from Athens.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19747121.mp3	It belongs to the European Southern Observatory.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19601864.mp3	It promoted the building and renovation of many rural churches of his diocese at Plasencia.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19728792.mp3	She learned the music arts under the guidance of master Duarte Lobo.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19637646.mp3	Its natural habitat are the brushwood of tropical mountains.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19717648.mp3	There is a module for the kernel in Linux.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19697816.mp3	Therefore, the Earth’s translation movement is an uniformly varied motion.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19707484.mp3	Within the 12 days of Christmas, there are secular and religious celebrations.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19692821.mp3	Works made together with the master builder Juan de Bargas, from Jerez.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_18721858.mp3	We will find out one way or the other.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19623577.mp3	The legal time is based on the meridian and not a time zone.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19997051.mp3	Some of the prisoners are Mary Casey, Krystal McCoy, Linda Freedman, Emma Gould and Charlotte Stone.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19631857.mp3	It’s the first time Christianity was recognized from a historic and legal standpoint.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19670264.mp3	Naraku is the most hated character of the show.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19671200.mp3	Born in Carthage, Costa Rica.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19966045.mp3	Contributions to the criticism towards the commercial society”.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19055353.mp3	I still sigh while remembering it!	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19601150.mp3	He was a part of Customs in his native country, and he achieved the title of Official.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20003785.mp3	To taka a vow to love someone for ever is beautiful.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19628608.mp3	Mario de Andrade was born in Sao Paulo.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19639684.mp3	The result was the making of hundreds of military airships.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19608543.mp3	Bernd Lange is married with a daughter.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19721684.mp3	Ewing’s regular position is guard.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_19749457.mp3	The advantage is that they are paid for the clicks made on the add.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_18375088.mp3	The parties’ program cost three and a half euros.	test
/home/n8rob/anlp11711_proj/spanish_data/clips/common_voice_es_20026306.mp3	She has an older brother, Alex Cooke, and a younger sister, Gabrielle Cooke.	test
