path	translation	split
common_voice_ta_19819841.mp3	The feelings in my heart when I see you	test
common_voice_ta_19634234.mp3	What a blessing!	test
common_voice_ta_19785722.mp3	Tamil is the water of our community!	test
common_voice_ta_19726652.mp3	Today I am asking you not to seek it	test
common_voice_ta_19726654.mp3	taking several feet	test
common_voice_ta_19579269.mp3	Chant the Renaissance!	test
common_voice_ta_19579270.mp3	Those who fear anything in the world	test
common_voice_ta_19579273.mp3	Ilaiyaan cried like this, the king of poetry.	test
common_voice_ta_19729011.mp3	As said by the Vanji. Ilaiyaan was startled.	test
common_voice_ta_19729012.mp3	Happy Christmas	test
common_voice_ta_19729015.mp3	Get a job in government!	test
common_voice_ta_19657983.mp3	The dominance of AD form! – Fools	test
common_voice_ta_19657997.mp3	Poetry books like elixir in Classic Tamil	test
common_voice_ta_19658087.mp3	The king's son could learn all the skills!	test
common_voice_ta_19180413.mp3	He would say that they are the essence of the Sanjeevi mountain.	test
common_voice_ta_19180414.mp3	The body that has lost energy needs strength!	test
common_voice_ta_19180415.mp3	He said “go with a fear of desire."	test
common_voice_ta_19180422.mp3	He and she will go to the private room;	test
common_voice_ta_19139122.mp3	Smile! Rule the world!	test
common_voice_ta_19139124.mp3	My lunch box is missing.	test
common_voice_ta_19139125.mp3	She said burnt. After that she ran away	test
common_voice_ta_19139126.mp3	Will the donkey improve?	test
common_voice_ta_19140100.mp3	In Tamil Nadu, the summer is between April and July	test
common_voice_ta_19140101.mp3	The sun sets in the west of the world.	test
common_voice_ta_19140102.mp3	Fusar, who left Wansura, lives.	test
common_voice_ta_19140103.mp3	Your house—your neighbor house’s	test
common_voice_ta_19165157.mp3	They came to see the girl at our house yesterday	test
common_voice_ta_19165158.mp3	Dealing with death and forgetting it is better.	test
common_voice_ta_19165159.mp3	After drinking four or five cups of	test
common_voice_ta_19165161.mp3	This is a text spoken by a Kasi Nagar poet	test
common_voice_ta_19538462.mp3	To spend the day time, he plays the ball game!	test
common_voice_ta_19538463.mp3	The old man fell asleep!	test
common_voice_ta_19538464.mp3	I told him jokingly:	test
common_voice_ta_19538465.mp3	I don’t have any property! By disease	test
common_voice_ta_19137807.mp3	The wound which has been burnt by fire may heal, but a wound burnt by the tongue will never heal.	test
common_voice_ta_19137808.mp3	Climb and look out over the world!	test
common_voice_ta_19137809.mp3	The oasis is there and I am in the pial	test
common_voice_ta_19137810.mp3	Come and sit down as usual	test
common_voice_ta_19568226.mp3	Increase your knowledge daily	test
common_voice_ta_19568228.mp3	Looks like it wasn't expected	test
common_voice_ta_19568229.mp3	It’s a bungalow chariot	test
common_voice_ta_19568230.mp3	Don’t try the foolish behaviors at all	test
common_voice_ta_19143699.mp3	The diamond repository that glare the eyes!	test
common_voice_ta_19143701.mp3	“What happened Vanji! Don’t even know this?	test
common_voice_ta_19143703.mp3	Am I talking right?	test
common_voice_ta_19143704.mp3	I already know what earth is like.	test
